id,tanggal,tanggal_jenis,tier,prioritas,judul,kategori,aktor,kecamatan,nilai_rp,jenis_nilai,status,status_enum,sentimen,tipe,grup,sumber,sumber_jenis,verifikasi,verifikasi_status,url,dampak,urgensi,catatan
1,2026-06-02,terakhir,P1,16,"Dugaan korupsi jalan Desa Klino Rp2,7 M",Hukum & Korupsi,Kejari Bojonegoro; Nurul Azizah,Sekar,2700000000,kerugian,Penyelidikan Kejari,Proses hukum,Negatif,Tuduhan,,detikJatim,media,bertautan,terbit,https://www.detik.com/jatim/hukum-dan-kriminal/d-8515228/kejari-bojonegoro-selidiki-dugaan-korupsi-proyek-jalan-desa-klino-rp-2-7-miliar,4,4,Sidak Wabup 31 Mar; lapor warga 22 Apr; uji sampel 2 Jun
2,2026-03-10,kejadian,P1,16,Dugaan korupsi BKKD 2025 di 12 desa,Hukum & Korupsi,Kejari Bojonegoro,Kanor; Trucuk,6300000000,kerugian,Dilaporkan,Proses hukum,Negatif,Tuduhan,,BeritaKeadilan,media,bertautan,terbit,https://beritakeadilan.com/menguat-dugaan-korupsi-bkkd-2025-di-12-desa-dilaporkan/,4,4,"Nglarangan Rp2,4 M; Mori–Trucuk Rp2,2 M; Prigi Rp1,7 M (diduga ke CV MAK & CV SS)"
3,2026-07-16,kejadian,P2,9,Sengketa lahan RPH Banjarsari masuk jalur pidana,Hukum & Korupsi,Ahli waris Hadi Subandriono; Pemkab,Trucuk,,,Laporan pidana ke Polres,Proses hukum,Negatif,Tuduhan,,SuaraBojonegoro,media,bertautan,terbit,https://suarabojonegoro.com/ahli-waris-salam-prawiro-soedarmo-tempuh-jalur-pidana-laporkan-dugaan-sertifikat-ganda-dan-penguasaan-lahan-rph-banjarsari-bojonegoro,3,3,SHM No.33/1972 vs SHP 016/2022; Pasal 391/392/410/256 KUHP
4,,,P3,6,"Kades Drokilo tersangka korupsi dana desa Rp1,4 M",Hukum & Korupsi,Kejari Bojonegoro,,1400000000,kerugian,Tersangka,Proses hukum,Negatif,Fakta,,detikJatim,media,belum,belum,,3,2,Bagian dari pola korupsi dana desa
5,,,P3,6,Eks camat jadi tersangka korupsi BKKD,Hukum & Korupsi,Kejari Bojonegoro,,,,Tersangka,Proses hukum,Negatif,Fakta,,Media lokal,generik,belum,belum,,3,2,Perlu verifikasi lanjutan
6,2026-09-03,kejadian,P4,4,Dialog 'Sapa Bupati' menata kota,Pemerintahan,Setyo Wahono; Nurul Azizah,,,,Berlangsung,Berjalan,Netral,Agenda,,Pemkab,resmi,bertautan,terbit,https://bojonegorokab.go.id/beranda,2,2,Kanvas masukan warga secara berkala
7,2026-08-14,kejadian,P5,1,Rapat paripurna DPRD,Pemerintahan,Abdullah Umar; Setyo Wahono; Nurul Azizah,,,,Selesai,Selesai,Netral,Agenda,,Pemkab,resmi,belum,belum,,1,1,
8,2026-04-16,kejadian,P3,6,Capaian DTSEN 99%,Pemerintahan,Pemkab Bojonegoro,,,,Tercapai,Selesai,Positif,Prestasi,,Pemkab,resmi,belum,belum,,2,3,Basis data sosial ekonomi untuk penargetan program
9,2026-07-15,kejadian,P5,2,Kemenham minta produk hukum daerah perhatikan HAM,Pemerintahan,Kemenham Jatim; Pemkab,,,,Rekomendasi,Wacana,Netral,Kebijakan,,Pemkab,resmi,belum,belum,,1,2,Terkait penataan regulasi daerah
10,2026-04-22,kejadian,P1,16,Bendungan Karangnongko terancam mangkrak,Infrastruktur & Energi,BPK RI; Pemkab,Margomulyo,,,Kritis (PSN),Belum tuntas,Negatif,Fakta,,BeritaKeadilan,media,bertautan,terbit,https://beritakeadilan.com/proyek-karangnongko-terancam-gagal-kelalaian-pemkab-bojonegoro-disorot-bpk-ri/,4,4,Kendala pembebasan lahan kawasan hutan
